question,answer,disease,reference_url
What is bronchitis?,Bronchitis is an inflammation of the airways in the lungs that is usually caused by an infection. It often gets better without treatment in around 3 weeks.,Bronchitis,https://www.nhs.uk/conditions/Bronchitis/
What are the symptoms of bronchitis?,"Symptoms of bronchitis can be similar to a cold or flu. Symptoms include coughing, chest pain when coughing, shortness of breath, a sore throat, a runny nose, and a high temperature.",Bronchitis,https://www.nhs.uk/conditions/Bronchitis/
What can I do to ease the symptoms of bronchitis?,"There are some things you can do to ease the symptoms of bronchitis and reduce the risk of spreading infections to other people. You can get plenty of rest, drink plenty of fluids, take painkillers like paracetamol or ibuprofen, try adding honey to a warm drink to help soothe your throat, cover your mouth and nose with a tissue when you cough or sneeze, and wash your hands regularly with water and soap.",Bronchitis,https://www.nhs.uk/conditions/Bronchitis/
Should I smoke if I have bronchitis?,"No, you should not smoke if you have bronchitis.",Bronchitis,https://www.nhs.uk/conditions/Bronchitis/
When should I call for an urgent GP appointment if I have bronchitis?,"You should ask for an urgent GP appointment or get help from NHS 111 if you've had a cough for more than 3 weeks, you cough up blood or blood-stained mucus, you have chest pain that comes and goes, or when breathing or coughing, you're over 65, you're pregnant, you have a long-term condition, such as diabetes, or a heart, lung or kidney condition, you have a weakened immune system, or you feel very unwell.",Bronchitis,https://www.nhs.uk/conditions/Bronchitis/
When should I call 999 if I have bronchitis?,"You should call 999 if you are struggling to breathe – you are choking, gasping and unable to speak, you have pale, blue or blotchy skin, lips or tongue, you suddenly feel confused, or you're unable to wake your baby or they feel floppy.",Bronchitis,https://www.nhs.uk/conditions/Bronchitis/
How long does bronchitis usually last?,Bronchitis usually clears up without treatment in around 3 weeks.,Bronchitis,https://www.nhs.uk/conditions/Bronchitis/
What is chronic bronchitis?,Chronic bronchitis is long-term inflammation of the airways in the lungs. It is known as chronic obstructive pulmonary disease (COPD).,Bronchitis,https://www.nhs.uk/conditions/Bronchitis/
What treatments are available for bronchitis?,Bronchitis usually clears up without treatment in around 3 weeks. See a GP if your symptoms last longer than 3 weeks. You may need antibiotics if your bronchitis is caused by a bacterial infection.,Bronchitis,https://www.nhs.uk/conditions/Bronchitis/
Can babies under 1 year old have honey to soothe their throat if they have bronchitis?,"No, you should not give honey to babies under 1 to soothe their throat if they have bronchitis.",Bronchitis,https://www.nhs.uk/conditions/Bronchitis/
What is laryngitis?,Laryngitis is when your voice box or vocal cords in the throat become irritated or swollen.,Laryngitis,https://www.nhs.uk/conditions/Laryngitis/
What are the symptoms of laryngitis?,"The main symptoms of laryngitis are a hoarse (croaky) voice, sometimes losing your voice, an irritating cough that does not go away, always needing to clear your throat, and a sore throat. Children can also have a temperature of 38C or above, be off their food or drink, and have difficulty breathing (but this is rare).",Laryngitis,https://www.nhs.uk/conditions/Laryngitis/
What can I do to treat laryngitis myself?,"You can try to speak as little as possible, drink plenty of fluids, keep the air moist by putting out bowls of water, gargle with warm salty water, and avoid talking loudly or whispering, smoking, spending time in smoky or dusty places, and drinking too much caffeine or alcohol.",Laryngitis,https://www.nhs.uk/conditions/Laryngitis/
What can a pharmacist do to help with laryngitis?,"A pharmacist can give advice and suggest treatments, including paracetamol or ibuprofen, cough syrup to help with your cough, and solutions to gargle or lozenges for the pain.",Laryngitis,https://www.nhs.uk/conditions/Laryngitis/
When should I see a GP for laryngitis?,"You should see a GP if your symptoms do not improve after 2 weeks, it's very painful or it's difficult to swallow, or you keep getting laryngitis or voice problems.",Laryngitis,https://www.nhs.uk/conditions/Laryngitis/
How can I gargle with salty water?,"To gargle with salty water, dissolve half a teaspoon of salt in a glass of warm water, gargle with the solution, then spit it out. Do not swallow it. Repeat as often as you like. This is not suitable for younger children.",Laryngitis,https://www.nhs.uk/conditions/Laryngitis/
What will a GP do if I have laryngitis?,"The GP will try to work out what has caused your laryngitis by looking inside your throat using a small mirror, wiping a cotton bud around the back of your throat for testing, arranging a blood test, or referring you to an ear, nose and throat (ENT) specialist (if you keep getting laryngitis). If your laryngitis is caused by an infection, the GP might prescribe antibiotics.",Laryngitis,https://www.nhs.uk/conditions/Laryngitis/
What are the possible causes of laryngitis?,"Laryngitis usually happens when you have an infection from a virus, such as cold or flu. Other things that cause laryngitis include allergies to things like dust and fumes, acid from your stomach coming up your throat (acid reflux), coughing over a long time, and clearing your throat all the time.",Laryngitis,https://www.nhs.uk/conditions/Laryngitis/
Can I prevent laryngitis?,"You can help prevent laryngitis by practicing good hygiene, such as washing your hands frequently, avoiding contact with people who have colds or flu, and getting a flu vaccination. You can also avoid smoking and exposure to secondhand smoke or other irritants, and manage conditions that can cause laryngitis, such as acid reflux or allergies.",Laryngitis,https://www.nhs.uk/conditions/Laryngitis/
When should I call 999 or go to A&E for laryngitis?,You should call 999 or go to A&E if you or your child are having difficulty breathing.,Laryngitis,https://www.nhs.uk/conditions/Laryngitis/
What are the symptoms of pneumonia?,"The symptoms of pneumonia include coughing up yellow or green mucus, shortness of breath, a high temperature, chest pain, an aching body, feeling very tired, loss of appetite, making wheezing noises when you breathe, feeling confused.",Pneumonia,https://www.nhs.uk/conditions/Pneumonia/
How long does it take to recover from pneumonia?,"Most people get better in 2 to 4 weeks. However, babies, older people, and people with heart or lung conditions are at risk of getting seriously ill and may need treatment in the hospital.",Pneumonia,https://www.nhs.uk/conditions/Pneumonia/
What are the urgent symptoms that require immediate medical attention related to pneumonia?,"If you're coughing up blood or having chest pain that comes and goes when you breathe or cough, feeling short of breath or struggling to breathe, experiencing pale, blue, or blotchy skin, lips, or tongue, feeling confused or unable to wake your baby, then call 999 for immediate medical attention.",Pneumonia,https://www.nhs.uk/conditions/Pneumonia/
What is the treatment for pneumonia?,"Antibiotics are usually prescribed to treat pneumonia, and the standard recovery time is 2 to 4 weeks. If you have pre-existing heart conditions, lung disease or you're over 65 years old, you may need hospital treatment, which includes fluids, antibiotics, and oxygen to help you breathe.",Pneumonia,https://www.nhs.uk/conditions/Pneumonia/
Are there any things one can do to prevent the spread of pneumonia?,"Covering your mouth and nose when sneezing or coughing, washing your hands regularly with soap and water, and staying at home until you feel better and have no more fever is helpful. If diagnosed with pneumonia, you must avoid contact with other people and put used tissues in the bin as quickly as possible.",Pneumonia,https://www.nhs.uk/conditions/Pneumonia/
What is the difference between bacterial and viral pneumonia?,"Bacterial pneumonia is treated with antibiotics, while viral pneumonia requires antivirals. Bacterial pneumonia has a quicker onset of symptoms, which are generally more severe, whereas viral pneumonia symptoms' onset is slower.",Pneumonia,https://www.nhs.uk/conditions/Pneumonia/
"What is the pneumococcal vaccine, and who should get it?","The pneumococcal vaccine, also known as pneumonia vaccine, protects against pneumococcal bacteria that cause pneumonia in high-risk groups, such as infants, adults over 65 years, people with a long-term illness, cardiorespiratory conditions, or weakened immune systems.",Pneumonia,https://www.nhs.uk/conditions/Pneumonia/
Does smoking increase the risk of contracting pneumonia?,"Yes, smoking does increase the risk of contracting pneumonia, paired with other respiratory diseases; this risk can be relatively high. Quitting smoking can also lower the chances of contracting pneumonia.",Pneumonia,https://www.nhs.uk/conditions/Pneumonia/
What is tonsillitis?,Tonsillitis is an infection of the tonsils at the back of your throat.,Tonsillitis,https://www.nhs.uk/conditions/Tonsillitis/
Who can get tonsillitis?,"Tonsillitis is a common childhood illness, but teenagers and adults can get it too.",Tonsillitis,https://www.nhs.uk/conditions/Tonsillitis/
What are the symptoms of tonsillitis?,"The main symptoms in children and adults are sore throat, problems swallowing, high temperature, coughing, headache, feeling sick, earache, feeling tired. Sometimes the symptoms can be more severe and include swollen, painful glands in your neck, pus-filled spots on your tonsils, bad breath.",Tonsillitis,https://www.nhs.uk/conditions/Tonsillitis/
Is tonsillitis contagious?,"Tonsillitis is not contagious, but most of the infections that cause it are, such as colds and flu.",Tonsillitis,https://www.nhs.uk/conditions/Tonsillitis/
